workorderid,productid,operationsequence,locationid,scheduledstartdate,scheduledenddate,actualstartdate,actualenddate,actualresourcehrs,plannedcost,actualcost,modifieddate
70,811,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
70,811,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
70,811,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
71,812,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
71,812,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
71,812,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
72,813,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
72,813,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
72,813,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
73,817,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
74,818,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
75,819,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
76,820,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
77,825,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
78,826,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
79,827,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
80,828,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
81,894,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
82,945,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
82,945,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
83,950,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
84,951,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
85,994,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
86,995,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
87,996,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
101,802,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
101,802,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
102,803,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
102,803,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
103,804,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
103,804,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
108,749,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
109,750,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
110,771,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
111,778,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
112,516,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
112,516,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
113,519,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
113,519,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
117,748,1,10,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.1,92.25,92.25,2011-06-15
117,748,2,20,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.5,87.5,87.5,2011-06-15
117,748,3,30,2011-06-04,2011-06-15,2011-06-09,2011-06-15,1.0,14.5,14.5,2011-06-15
117,748,5,45,2011-06-04,2011-06-15,2011-06-09,2011-06-15,2.0,36.0,36.0,2011-06-15
117,748,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
117,748,7,60,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.0,49.0,49.0,2011-06-15
118,807,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
119,810,1,10,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.1,92.25,92.25,2011-06-15
119,810,2,20,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.5,87.5,87.5,2011-06-15
119,810,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
120,813,1,10,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.1,92.25,92.25,2011-06-15
120,813,2,20,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.5,87.5,87.5,2011-06-15
120,813,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
121,817,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
122,820,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
123,825,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
124,828,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
125,894,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
126,945,1,10,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.1,92.25,92.25,2011-06-15
126,945,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
127,951,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
128,996,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
141,804,1,10,2011-06-04,2011-06-15,2011-06-09,2011-06-15,4.1,92.25,92.25,2011-06-15
141,804,6,50,2011-06-04,2011-06-15,2011-06-09,2011-06-15,3.0,36.75,36.75,2011-06-15
146,751,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
147,752,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
148,753,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
149,764,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
150,517,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
150,517,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
151,519,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
151,519,7,60,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.0,49.0,49.0,2011-06-23
156,806,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
157,807,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
158,811,1,10,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.1,92.25,92.25,2011-06-23
158,811,2,20,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.5,87.5,87.5,2011-06-23
158,811,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
159,813,1,10,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.1,92.25,92.25,2011-06-23
159,813,2,20,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.5,87.5,87.5,2011-06-23
159,813,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
160,818,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
161,820,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
162,826,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
163,828,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
164,894,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
165,945,1,10,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.1,92.25,92.25,2011-06-23
165,945,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
166,950,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
167,951,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
168,994,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
169,996,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
182,802,1,10,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.1,92.25,92.25,2011-06-23
182,802,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
183,804,1,10,2011-06-05,2011-06-16,2011-06-05,2011-06-23,4.1,92.25,92.25,2011-06-23
183,804,6,50,2011-06-05,2011-06-16,2011-06-05,2011-06-23,3.0,36.75,36.75,2011-06-23
188,750,7,60,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.0,49.0,49.0,2011-06-17
189,753,7,60,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.0,49.0,49.0,2011-06-17
190,519,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
190,519,7,60,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.0,49.0,49.0,2011-06-17
193,807,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
194,813,1,10,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.1,92.25,92.25,2011-06-17
194,813,2,20,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.5,87.5,87.5,2011-06-17
194,813,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
195,820,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
196,828,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
197,894,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
198,945,1,10,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.1,92.25,92.25,2011-06-17
198,945,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
199,951,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
200,996,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
212,804,1,10,2011-06-06,2011-06-17,2011-06-13,2011-06-17,4.1,92.25,92.25,2011-06-17
212,804,6,50,2011-06-06,2011-06-17,2011-06-13,2011-06-17,3.0,36.75,36.75,2011-06-17
217,749,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
218,750,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
219,753,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
220,767,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
221,517,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
221,517,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
222,519,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
222,519,7,60,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.0,49.0,49.0,2011-06-27
227,806,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
228,807,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
229,811,1,10,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.1,92.25,92.25,2011-06-27
229,811,2,20,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.5,87.5,87.5,2011-06-27
229,811,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
230,813,1,10,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.1,92.25,92.25,2011-06-27
230,813,2,20,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.5,87.5,87.5,2011-06-27
230,813,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
231,818,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
232,820,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
233,826,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
234,828,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
235,894,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
236,945,1,10,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.1,92.25,92.25,2011-06-27
236,945,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
237,950,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
238,951,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
239,994,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
240,996,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
253,802,1,10,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.1,92.25,92.25,2011-06-27
253,802,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
254,804,1,10,2011-06-07,2011-06-18,2011-06-07,2011-06-27,4.1,92.25,92.25,2011-06-27
254,804,6,50,2011-06-07,2011-06-18,2011-06-07,2011-06-27,3.0,36.75,36.75,2011-06-27
259,749,7,60,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.0,49.0,49.0,2011-06-19
260,750,7,60,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.0,49.0,49.0,2011-06-19
261,751,7,60,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.0,49.0,49.0,2011-06-19
262,519,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
262,519,7,60,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.0,49.0,49.0,2011-06-19
266,807,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
267,813,1,10,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.1,92.25,92.25,2011-06-19
267,813,2,20,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.5,87.5,87.5,2011-06-19
267,813,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
268,820,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
269,828,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
270,894,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
271,945,1,10,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.1,92.25,92.25,2011-06-19
271,945,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
272,951,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
273,996,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
285,804,1,10,2011-06-08,2011-06-19,2011-06-17,2011-06-19,4.1,92.25,92.25,2011-06-19
285,804,6,50,2011-06-08,2011-06-19,2011-06-17,2011-06-19,3.0,36.75,36.75,2011-06-19
290,750,7,60,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.0,49.0,49.0,2011-07-01
291,751,7,60,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.0,49.0,49.0,2011-07-01
292,765,7,60,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.0,49.0,49.0,2011-07-01
293,517,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
293,517,7,60,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.0,49.0,49.0,2011-07-01
294,519,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
294,519,7,60,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.0,49.0,49.0,2011-07-01
298,806,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
299,807,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
300,811,1,10,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.1,92.25,92.25,2011-07-01
300,811,2,20,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.5,87.5,87.5,2011-07-01
300,811,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
301,813,1,10,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.1,92.25,92.25,2011-07-01
301,813,2,20,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.5,87.5,87.5,2011-07-01
301,813,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
302,818,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
303,820,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
304,826,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
305,828,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
306,894,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
307,945,1,10,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.1,92.25,92.25,2011-07-01
307,945,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
308,950,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
309,951,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
310,994,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
311,996,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
324,802,1,10,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.1,92.25,92.25,2011-07-01
324,802,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
325,804,1,10,2011-06-09,2011-06-20,2011-06-09,2011-07-01,4.1,92.25,92.25,2011-07-01
325,804,6,50,2011-06-09,2011-06-20,2011-06-09,2011-07-01,3.0,36.75,36.75,2011-07-01
