workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
189,753,1,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
190,519,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
191,718,1,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
192,721,1,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
193,807,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
194,813,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
195,820,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
196,828,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
197,894,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
198,945,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
199,951,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
200,996,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
201,3,20,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
202,324,4,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
203,327,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
204,329,4,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
205,398,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
206,399,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
207,401,4,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
208,529,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
209,532,8,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
210,533,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
211,534,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
212,804,2,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
213,316,4,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
214,331,4,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
215,350,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
216,531,2,0,2011-06-06,2011-06-16,2011-06-17,,2011-06-16
217,749,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
218,750,2,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
219,753,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
220,767,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
221,517,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
222,519,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
223,717,1,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
224,718,2,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
225,721,1,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
226,724,1,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
227,806,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
228,807,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
229,811,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
230,813,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
231,818,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
232,820,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
233,826,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
234,828,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
235,894,5,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
236,945,5,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
237,950,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
238,951,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
239,994,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
240,996,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
241,3,50,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
242,324,10,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
243,327,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
244,329,10,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
245,398,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
246,399,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
247,400,2,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
248,401,8,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
249,529,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
250,532,20,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
251,533,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
252,534,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
253,802,1,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
254,804,4,0,2011-06-07,2011-06-27,2011-06-18,,2011-06-27
255,316,10,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
256,331,10,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
257,350,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
258,531,5,0,2011-06-07,2011-06-17,2011-06-18,,2011-06-17
259,749,1,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
260,750,2,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
261,751,1,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
262,519,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
263,717,1,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
264,718,2,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
265,719,1,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
266,807,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
267,813,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
268,820,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
269,828,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
270,894,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
271,945,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
272,951,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
273,996,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
274,3,40,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
275,324,8,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
276,327,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
277,329,8,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
278,398,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
279,399,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
280,401,8,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
281,529,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
282,532,16,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
283,533,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
284,534,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
285,804,4,0,2011-06-08,2011-06-19,2011-06-19,,2011-06-19
286,316,8,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
287,331,8,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
288,350,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
289,531,4,0,2011-06-08,2011-06-18,2011-06-19,,2011-06-18
290,750,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
291,751,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
292,765,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
293,517,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
294,519,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
295,718,1,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
296,719,1,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
297,722,1,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
298,806,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
299,807,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
300,811,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
301,813,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
302,818,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
303,820,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
304,826,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
305,828,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
306,894,3,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
307,945,3,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
308,950,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
309,951,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
310,994,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
311,996,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
312,3,30,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
313,324,6,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
314,327,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
315,329,6,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
316,398,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
317,399,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
318,400,2,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
319,401,4,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
320,529,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
321,532,12,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
322,533,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
323,534,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
324,802,1,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
325,804,2,0,2011-06-09,2011-07-01,2011-06-20,,2011-07-01
326,316,6,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
327,331,6,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
328,350,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
329,531,3,0,2011-06-09,2011-06-19,2011-06-20,,2011-06-19
330,750,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
331,765,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
332,517,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
333,519,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
334,718,2,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
335,722,1,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
336,806,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
337,807,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
338,811,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
339,813,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
340,818,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
341,820,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
342,826,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
343,828,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
344,894,3,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
345,945,3,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
346,950,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
347,951,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
348,994,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
349,996,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
350,3,30,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
351,324,6,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
352,327,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
353,329,6,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
354,398,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
355,399,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
356,400,2,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
357,401,4,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
358,529,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
359,532,12,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
360,533,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
361,534,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
362,802,1,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
363,804,2,0,2011-06-10,2011-06-21,2011-06-21,,2011-06-21
364,316,6,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
365,331,6,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
366,350,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
367,531,3,0,2011-06-10,2011-06-20,2011-06-21,,2011-06-20
368,751,1,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
369,752,1,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
370,753,1,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
371,773,2,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
372,777,1,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
373,516,3,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
374,519,3,0,2011-06-11,2011-07-05,2011-06-22,,2011-07-05
375,719,1,0,2011-06-11,2011-06-21,2011-06-22,,2011-06-21
