transactionid,productid,referenceorderid,referenceorderlineid,transactiondate,transactiontype,quantity,actualcost,modifieddate
211,738,43680,3,2011-05-31,S,2,220.2496,2011-05-31
212,753,43680,11,2011-05-31,S,2,2576.3544,2011-05-31
213,756,43680,2,2011-05-31,S,2,1049.7528,2011-05-31
214,758,43680,9,2011-05-31,S,1,1049.7528,2011-05-31
215,760,43680,1,2011-05-31,S,3,503.3507,2011-05-31
216,761,43680,10,2011-05-31,S,1,503.3507,2011-05-31
217,763,43680,15,2011-05-31,S,1,503.3507,2011-05-31
218,765,43680,13,2011-05-31,S,3,503.3507,2011-05-31
219,707,43681,4,2011-05-31,S,1,20.1865,2011-05-31
220,708,43681,6,2011-05-31,S,2,20.1865,2011-05-31
221,711,43681,19,2011-05-31,S,2,20.1865,2011-05-31
222,712,43681,21,2011-05-31,S,2,5.6187,2011-05-31
223,714,43681,14,2011-05-31,S,2,31.2437,2011-05-31
224,715,43681,1,2011-05-31,S,6,31.2437,2011-05-31
225,716,43681,18,2011-05-31,S,2,31.2437,2011-05-31
226,725,43681,20,2011-05-31,S,1,226.8571,2011-05-31
227,729,43681,5,2011-05-31,S,1,226.8571,2011-05-31
228,730,43681,8,2011-05-31,S,2,226.8571,2011-05-31
229,732,43681,3,2011-05-31,S,1,440.1742,2011-05-31
230,738,43681,12,2011-05-31,S,2,220.2496,2011-05-31
231,753,43681,13,2011-05-31,S,1,2576.3544,2011-05-31
232,756,43681,17,2011-05-31,S,1,1049.7528,2011-05-31
233,758,43681,9,2011-05-31,S,3,1049.7528,2011-05-31
234,760,43681,16,2011-05-31,S,2,503.3507,2011-05-31
235,761,43681,11,2011-05-31,S,2,503.3507,2011-05-31
236,762,43681,2,2011-05-31,S,5,503.3507,2011-05-31
237,764,43681,15,2011-05-31,S,2,503.3507,2011-05-31
238,768,43681,10,2011-05-31,S,1,503.3507,2011-05-31
239,770,43681,7,2011-05-31,S,3,503.3507,2011-05-31
240,715,43682,5,2011-05-31,S,1,31.2437,2011-05-31
241,758,43682,1,2011-05-31,S,2,1049.7528,2011-05-31
242,760,43682,3,2011-05-31,S,2,503.3507,2011-05-31
243,762,43682,2,2011-05-31,S,1,503.3507,2011-05-31
244,770,43682,4,2011-05-31,S,2,503.3507,2011-05-31
245,707,43683,11,2011-05-31,S,3,20.1865,2011-05-31
246,708,43683,5,2011-05-31,S,1,20.1865,2011-05-31
247,709,43683,13,2011-05-31,S,6,6.175,2011-05-31
248,711,43683,6,2011-05-31,S,2,20.1865,2011-05-31
249,712,43683,7,2011-05-31,S,3,5.6187,2011-05-31
250,715,43683,2,2011-05-31,S,2,31.2437,2011-05-31
251,772,43683,10,2011-05-31,S,1,2447.9928,2011-05-31
252,773,43683,3,2011-05-31,S,2,2447.9928,2011-05-31
253,774,43683,4,2011-05-31,S,1,2447.9928,2011-05-31
254,775,43683,8,2011-05-31,S,4,2429.9928,2011-05-31
255,776,43683,1,2011-05-31,S,2,2429.9928,2011-05-31
256,777,43683,9,2011-05-31,S,6,2429.9928,2011-05-31
257,778,43683,12,2011-05-31,S,5,2429.9928,2011-05-31
258,754,43684,1,2011-05-31,S,2,1049.7528,2011-05-31
259,758,43684,4,2011-05-31,S,2,1049.7528,2011-05-31
260,760,43684,3,2011-05-31,S,1,503.3507,2011-05-31
261,762,43684,2,2011-05-31,S,2,503.3507,2011-05-31
262,763,43684,6,2011-05-31,S,1,503.3507,2011-05-31
263,770,43684,5,2011-05-31,S,1,503.3507,2011-05-31
264,725,43685,4,2011-05-31,S,1,226.8571,2011-05-31
265,754,43685,3,2011-05-31,S,1,1049.7528,2011-05-31
266,763,43685,2,2011-05-31,S,1,503.3507,2011-05-31
267,765,43685,1,2011-05-31,S,3,503.3507,2011-05-31
268,758,43686,1,2011-05-31,S,3,1049.7528,2011-05-31
269,762,43686,2,2011-05-31,S,1,503.3507,2011-05-31
270,770,43686,3,2011-05-31,S,1,503.3507,2011-05-31
271,765,43687,2,2011-05-31,S,2,503.3507,2011-05-31
272,768,43687,1,2011-05-31,S,1,503.3507,2011-05-31
273,725,43688,1,2011-05-31,S,1,226.8571,2011-05-31
274,729,43688,6,2011-05-31,S,2,226.8571,2011-05-31
275,738,43688,4,2011-05-31,S,1,220.2496,2011-05-31
276,753,43688,11,2011-05-31,S,2,2576.3544,2011-05-31
277,754,43688,7,2011-05-31,S,2,1049.7528,2011-05-31
278,758,43688,8,2011-05-31,S,2,1049.7528,2011-05-31
279,760,43688,2,2011-05-31,S,2,503.3507,2011-05-31
280,762,43688,3,2011-05-31,S,3,503.3507,2011-05-31
281,763,43688,5,2011-05-31,S,1,503.3507,2011-05-31
282,765,43688,9,2011-05-31,S,3,503.3507,2011-05-31
283,770,43688,10,2011-05-31,S,1,503.3507,2011-05-31
284,722,43689,10,2011-05-31,S,1,220.2496,2011-05-31
285,725,43689,3,2011-05-31,S,2,226.8571,2011-05-31
286,726,43689,9,2011-05-31,S,3,226.8571,2011-05-31
287,729,43689,12,2011-05-31,S,2,226.8571,2011-05-31
288,730,43689,13,2011-05-31,S,2,226.8571,2011-05-31
289,732,43689,14,2011-05-31,S,2,440.1742,2011-05-31
290,738,43689,2,2011-05-31,S,2,220.2496,2011-05-31
291,749,43689,19,2011-05-31,S,2,2576.3544,2011-05-31
292,753,43689,4,2011-05-31,S,1,2576.3544,2011-05-31
293,754,43689,21,2011-05-31,S,4,1049.7528,2011-05-31
294,755,43689,5,2011-05-31,S,2,1049.7528,2011-05-31
295,758,43689,18,2011-05-31,S,3,1049.7528,2011-05-31
296,760,43689,8,2011-05-31,S,7,503.3507,2011-05-31
297,761,43689,17,2011-05-31,S,2,503.3507,2011-05-31
298,762,43689,20,2011-05-31,S,9,503.3507,2011-05-31
299,763,43689,11,2011-05-31,S,6,503.3507,2011-05-31
300,764,43689,1,2011-05-31,S,3,503.3507,2011-05-31
301,765,43689,15,2011-05-31,S,5,503.3507,2011-05-31
302,766,43689,6,2011-05-31,S,4,503.3507,2011-05-31
303,768,43689,16,2011-05-31,S,2,503.3507,2011-05-31
304,770,43689,7,2011-05-31,S,2,503.3507,2011-05-31
305,712,43690,3,2011-05-31,S,2,5.6187,2011-05-31
306,715,43690,1,2011-05-31,S,1,31.2437,2011-05-31
307,760,43690,4,2011-05-31,S,2,503.3507,2011-05-31
308,770,43690,2,2011-05-31,S,1,503.3507,2011-05-31
309,758,43691,1,2011-05-31,S,1,1049.7528,2011-05-31
310,707,43692,27,2011-05-31,S,4,20.1865,2011-05-31
311,708,43692,10,2011-05-31,S,3,20.1865,2011-05-31
312,711,43692,24,2011-05-31,S,3,20.1865,2011-05-31
313,712,43692,13,2011-05-31,S,6,5.6187,2011-05-31
314,714,43692,14,2011-05-31,S,4,31.2437,2011-05-31
315,715,43692,5,2011-05-31,S,10,31.2437,2011-05-31
316,716,43692,17,2011-05-31,S,4,31.2437,2011-05-31
317,722,43692,22,2011-05-31,S,1,220.2496,2011-05-31
318,725,43692,2,2011-05-31,S,1,226.8571,2011-05-31
319,726,43692,28,2011-05-31,S,2,226.8571,2011-05-31
320,729,43692,26,2011-05-31,S,2,226.8571,2011-05-31
321,730,43692,4,2011-05-31,S,2,226.8571,2011-05-31
322,732,43692,12,2011-05-31,S,3,440.1742,2011-05-31
323,738,43692,8,2011-05-31,S,2,220.2496,2011-05-31
324,753,43692,20,2011-05-31,S,2,2576.3544,2011-05-31
325,754,43692,3,2011-05-31,S,8,1049.7528,2011-05-31
326,755,43692,16,2011-05-31,S,2,1049.7528,2011-05-31
327,756,43692,7,2011-05-31,S,4,1049.7528,2011-05-31
328,758,43692,9,2011-05-31,S,8,1049.7528,2011-05-31
329,760,43692,15,2011-05-31,S,7,503.3507,2011-05-31
330,761,43692,23,2011-05-31,S,3,503.3507,2011-05-31
331,762,43692,11,2011-05-31,S,6,503.3507,2011-05-31
332,763,43692,25,2011-05-31,S,1,503.3507,2011-05-31
333,764,43692,19,2011-05-31,S,1,503.3507,2011-05-31
334,765,43692,18,2011-05-31,S,2,503.3507,2011-05-31
335,766,43692,21,2011-05-31,S,1,503.3507,2011-05-31
336,768,43692,6,2011-05-31,S,1,503.3507,2011-05-31
337,770,43692,1,2011-05-31,S,5,503.3507,2011-05-31
338,707,43693,4,2011-05-31,S,2,20.1865,2011-05-31
339,708,43693,6,2011-05-31,S,2,20.1865,2011-05-31
340,709,43693,3,2011-05-31,S,6,6.175,2011-05-31
341,716,43693,1,2011-05-31,S,3,31.2437,2011-05-31
342,771,43693,5,2011-05-31,S,3,2447.9928,2011-05-31
343,772,43693,9,2011-05-31,S,1,2447.9928,2011-05-31
344,773,43693,2,2011-05-31,S,1,2447.9928,2011-05-31
345,774,43693,7,2011-05-31,S,1,2447.9928,2011-05-31
346,777,43693,8,2011-05-31,S,3,2429.9928,2011-05-31
347,778,43693,10,2011-05-31,S,1,2429.9928,2011-05-31
348,707,43694,6,2011-05-31,S,1,20.1865,2011-05-31
349,708,43694,7,2011-05-31,S,1,20.1865,2011-05-31
350,711,43694,11,2011-05-31,S,5,20.1865,2011-05-31
351,712,43694,10,2011-05-31,S,1,5.6187,2011-05-31
352,715,43694,3,2011-05-31,S,2,31.2437,2011-05-31
353,716,43694,5,2011-05-31,S,3,31.2437,2011-05-31
354,771,43694,2,2011-05-31,S,3,2447.9928,2011-05-31
355,772,43694,4,2011-05-31,S,1,2447.9928,2011-05-31
356,773,43694,9,2011-05-31,S,2,2447.9928,2011-05-31
357,774,43694,8,2011-05-31,S,1,2447.9928,2011-05-31
358,776,43694,1,2011-05-31,S,3,2429.9928,2011-05-31
359,709,43695,7,2011-05-31,S,2,6.175,2011-05-31
360,742,43695,4,2011-05-31,S,1,891.2004,2011-05-31
361,747,43695,3,2011-05-31,S,1,881.4687,2011-05-31
362,748,43695,2,2011-05-31,S,2,891.2004,2011-05-31
363,774,43695,1,2011-05-31,S,2,2447.9928,2011-05-31
364,775,43695,8,2011-05-31,S,5,2429.9928,2011-05-31
365,777,43695,5,2011-05-31,S,5,2429.9928,2011-05-31
366,778,43695,6,2011-05-31,S,6,2429.9928,2011-05-31
367,762,43696,1,2011-05-31,S,1,503.3507,2011-05-31
368,749,43697,1,2011-05-31,S,1,3578.27,2011-05-31
369,773,43698,1,2011-05-31,S,1,3399.99,2011-05-31
370,773,43699,1,2011-05-31,S,1,3399.99,2011-05-31
371,767,43700,1,2011-05-31,S,1,699.0982,2011-05-31
372,773,43701,1,2011-05-31,S,1,3399.99,2011-05-31
373,750,43702,1,2011-06-01,S,1,3578.27,2011-06-01
374,749,43703,1,2011-06-01,S,1,3578.27,2011-06-01
375,778,43704,1,2011-06-01,S,1,3374.99,2011-06-01
376,771,43705,1,2011-06-01,S,1,3399.99,2011-06-01
377,751,43706,1,2011-06-02,S,1,3578.27,2011-06-02
378,751,43707,1,2011-06-02,S,1,3578.27,2011-06-02
379,764,43708,1,2011-06-02,S,1,699.0982,2011-06-02
380,752,43709,1,2011-06-02,S,1,3578.27,2011-06-02
381,753,43710,1,2011-06-02,S,1,3578.27,2011-06-02
382,722,1,0,2011-06-03,W,8,0.0,2011-06-03
383,725,2,0,2011-06-03,W,15,0.0,2011-06-03
384,726,3,0,2011-06-03,W,9,0.0,2011-06-03
385,729,4,0,2011-06-03,W,16,0.0,2011-06-03
386,730,5,0,2011-06-03,W,14,0.0,2011-06-03
387,732,6,0,2011-06-03,W,16,0.0,2011-06-03
388,733,7,0,2011-06-03,W,4,0.0,2011-06-03
389,738,8,0,2011-06-03,W,19,0.0,2011-06-03
390,741,9,0,2011-06-03,W,2,0.0,2011-06-03
391,742,10,0,2011-06-03,W,3,0.0,2011-06-03
392,743,11,0,2011-06-03,W,1,0.0,2011-06-03
393,745,12,0,2011-06-03,W,1,0.0,2011-06-03
394,747,13,0,2011-06-03,W,4,0.0,2011-06-03
395,748,14,0,2011-06-03,W,2,0.0,2011-06-03
396,749,15,0,2011-06-03,W,4,0.0,2011-06-03
397,753,16,0,2011-06-03,W,14,0.0,2011-06-03
398,754,17,0,2011-06-03,W,27,0.0,2011-06-03
399,755,18,0,2011-06-03,W,11,0.0,2011-06-03
400,756,19,0,2011-06-03,W,14,0.0,2011-06-03
401,758,20,0,2011-06-03,W,46,0.0,2011-06-03
402,760,21,0,2011-06-03,W,43,0.0,2011-06-03
403,761,22,0,2011-06-03,W,19,0.0,2011-06-03
404,762,23,0,2011-06-03,W,44,0.0,2011-06-03
405,763,24,0,2011-06-03,W,20,0.0,2011-06-03
406,764,25,0,2011-06-03,W,14,0.0,2011-06-03
407,765,26,0,2011-06-03,W,30,0.0,2011-06-03
408,766,27,0,2011-06-03,W,11,0.0,2011-06-03
409,767,28,0,2011-06-03,W,1,0.0,2011-06-03
410,768,29,0,2011-06-03,W,13,0.0,2011-06-03
411,770,30,0,2011-06-03,W,29,0.0,2011-06-03
412,771,31,0,2011-06-03,W,10,0.0,2011-06-03
413,772,32,0,2011-06-03,W,5,0.0,2011-06-03
414,773,33,0,2011-06-03,W,17,0.0,2011-06-03
415,774,34,0,2011-06-03,W,7,0.0,2011-06-03
416,775,35,0,2011-06-03,W,22,0.0,2011-06-03
417,776,36,0,2011-06-03,W,16,0.0,2011-06-03
418,777,37,0,2011-06-03,W,23,0.0,2011-06-03
419,778,38,0,2011-06-03,W,20,0.0,2011-06-03
420,516,39,0,2011-06-03,W,120,0.0,2011-06-03
421,517,40,0,2011-06-03,W,224,0.0,2011-06-03
422,518,41,0,2011-06-03,W,98,0.0,2011-06-03
423,519,42,0,2011-06-03,W,18,0.0,2011-06-03
424,717,43,0,2011-06-03,W,4,0.0,2011-06-03
425,721,44,0,2011-06-03,W,14,0.0,2011-06-03
426,722,45,0,2011-06-03,W,30,0.0,2011-06-03
427,723,46,0,2011-06-03,W,11,0.0,2011-06-03
428,724,47,0,2011-06-03,W,1,0.0,2011-06-03
429,725,48,0,2011-06-03,W,44,0.0,2011-06-03
430,726,49,0,2011-06-03,W,20,0.0,2011-06-03
431,727,50,0,2011-06-03,W,14,0.0,2011-06-03
432,729,51,0,2011-06-03,W,43,0.0,2011-06-03
433,730,52,0,2011-06-03,W,19,0.0,2011-06-03
434,731,53,0,2011-06-03,W,14,0.0,2011-06-03
435,733,54,0,2011-06-03,W,46,0.0,2011-06-03
